排名,股票代码,股票名称,持股股东数量,最高涨幅股东,10日平均涨幅,30日平均涨幅,60日平均涨幅
1,603156,养元饮品,11,赵庆勋,0.33024119,0.46320346,0.46320346
2,002787,华源控股,10,孟凡清,0.30703746,0.55334847,0.55334847
3,300243,瑞丰高材,9,蔡成玉,0.28804703,0.33442195,0.33442195
4,688551,科威尔,8,田荣华,0.39597315,0.52527964,0.52527964
5,300943,春晖智控,8,於君标,0.24931224,0.33837689,0.33837689
6,600381,*ST春天,7,韩阳,0.34261838,0.34261838,0.34261838
7,603938,三孚股份,7,冯瑞红,0.16339227,0.38310413,0.38310413
8,688096,京源环保,7,张津生,0.43942993,0.43942993,0.43942993
9,300210,森远股份,7,王冬玲,0.12952799,0.32272228,0.32272228
10,002885,京泉华,7,鞠万金,0.25064683,0.37580854,0.37580854
11,920156,海昌智能,7,汪培志,0.59396962,0.59396962,0.59396962
12,300449,汉邦高科,7,张志君,0.66574586,0.66574586,0.66574586
13,001359,平安电工,7,李鲸波,0.37005988,0.37005988,0.37005988
14,603095,越剑智能,7,马红光,0.42321016,0.46882217,0.46882217
15,300302,同有科技,6,欧建峰,0.7,0.7,0.7
16,688400,凌云光,6,姚毅,0.34695529,0.34695529,0.34695529
17,300983,尤安设计,6,余志峰,0.59044481,0.59044481,0.59044481
18,300553,集智股份,6,杨江波,0.39302615,0.43910336,0.43910336
19,300570,太辰光,6,肖湘杰,0.31774795,0.32982849,0.32982849
20,002930,宏川智慧,6,陈乐君,0.33093525,0.33093525,0.33093525
21,301248,杰创智能,6,沈超,0.28097475,0.39841456,0.39841456
22,300283,温州宏丰,6,陈晓,0.47659574,0.46382979,0.46382979
23,300745,欣锐科技,6,郑秀攀,0.40770791,0.40770791,0.40770791
24,300656,民德电子,6,许文焕,0.32224532,0.32224532,0.32224532
25,920152,昆工科技,6,刘昕宇,0.37086559,0.37086559,0.37086559
26,600683,京投发展,6,韩松行,0.32827586,0.32827586,0.32827586
27,688693,锴威特,6,丁国华,0.45208333,0.45208333,0.45208333
28,920186,中科仪,6,王光玉,0.63795499,0.63795499,0.63795499
29,688800,瑞可达,6,黄博,0.47284138,0.47284138,0.47284138
30,301328,维峰电子,6,李文化,0.31453613,0.32760046,0.32760046
31,002199,*ST东晶,6,李庆跃,0.42813142,0.42813142,0.42813142
32,603353,和顺石油,5,高云安,0.46569704,0.44566411,0.44566411
33,300736,百邦科技,5,刘一苇,0.63311688,0.65909091,0.65909091
34,300868,杰美特,5,谌建平,0.34344847,0.30429311,0.30429311
35,300903,科翔股份,5,谭东,0.71804418,0.78704393,0.78704393
36,603559,ST通脉,5,徐爱云,0.32554945,0.32554945,0.32554945
